Word 1, Word 2, Frequency
an, unwelcome, 2.0
unwelcome, rarity, 2.0
In, me, 2.0
he, merely, 2.0
merely, saw, 2.0
saw, a, 2.0
who, had, 2.0
been, shut, 2.0
shut, up, 2.0
up, within, 2.0
within, narrow, 2.0
narrow, limits, 2.0
limits, all, 2.0
all, his, 2.0
life, and, 2.0
and, who, 2.0
who, being, 2.0
at, last, 2.0
last, set, 2.0
set, free, 2.0
free, had, 2.0
newly-awakened, interest, 2.0
interest, in, 2.0
in, these, 2.0
these, great, 2.0
great, works, 2.0
To, such, 2.0
such, purpose, 2.0
purpose, I, 2.0
I, spoke, 2.0
spoke, to, 2.0
am, far, 2.0
far, from, 2.0
from, sure, 2.0
sure, of, 2.0
terms, I, 2.0
used, for, 2.0
for, besides, 2.0
besides, that, 2.0
am, not, 2.0
not, happy, 2.0
happy, in, 2.0
in, opening, 2.0
opening, any, 2.0
any, conversation, 2.0
conversation, there, 2.0
something, in, 2.0
man, that, 2.0
that, daunted, 2.0
daunted, me, 2.0
He, directed, 2.0
directed, a, 2.0
a, most, 2.0
most, curious, 2.0
curious, look, 2.0
look, towards, 2.0
tunnel's, mouth, 2.0
mouth, and, 2.0
all, about, 2.0
about, it, 2.0
it, as, 2.0
if, something, 2.0
something, were, 2.0
were, missing, 2.0
missing, from, 2.0
from, it, 2.0
then, looked, 2.0
looked, it, 2.0
it, me, 2.0
That, light, 2.0
light, was, 2.0
was, part, 2.0
part, of, 2.0
his, charge, 2.0
it, not, 2.0
He, answered, 2.0
answered, in, 2.0
low, voice,--"Don't, 2.0
voice,--"Don't, you, 2.0
you, know, 2.0
it, is, 2.0
The, monstrous, 2.0
thought, came, 2.0
came, into, 2.0
into, my, 2.0
mind, as, 2.0
I, perused, 2.0
perused, the, 2.0
fixed, eyes, 2.0
saturnine, face, 2.0
face, that, 2.0
spirit, not, 2.0
not, a, 2.0
have, speculated, 2.0
speculated, since, 2.0
since, whether, 2.0
whether, there, 2.0
there, may, 2.0
may, have, 2.0
been, infection, 2.0
infection, in, 2.0
In, my, 2.0
my, turn, 2.0
turn, I, 2.0
But, in, 2.0
the, action, 2.0
action, I, 2.0
I, detected, 2.0
detected, in, 2.0
eyes, some, 2.0
some, latent, 2.0
latent, fear, 2.0
fear, of, 2.0
This, put, 2.0
put, the, 2.0
thought, to, 2.0
to, flight, 2.0
You, look, 2.0
said, forcing, 2.0
forcing, a, 2.0
smile, as, 2.0
you, had, 2.0
dread, of, 2.0
was, doubtful, 2.0
doubtful, he, 2.0
returned, whether, 2.0
whether, I, 2.0
had, seen, 2.0
seen, you, 2.0
you, before, 2.0
He, pointed, 2.0
light, he, 2.0
had, looked, 2.0
looked, at, 2.0
Intently, watchful, 2.0
watchful, of, 2.0
he, replied, 2.0
replied, but, 2.0
but, without, 2.0
without, sound, 2.0
sound, Yes, 2.0
My, good, 2.0
good, fellow, 2.0
fellow, what, 2.0
what, should, 2.0
should, I, 2.0
However, be, 2.0
be, that, 2.0
that, as, 2.0
it, may, 2.0
never, was, 2.0
was, there, 2.0
there, you, 2.0
you, may, 2.0
may, swear, 2.0
I, think, 2.0
may, he, 2.0
Yes, I, 2.0
am, sure, 2.0
manner, cleared, 2.0
cleared, like, 2.0
like, my, 2.0
He, replied, 2.0
replied, to, 2.0
my, remarks, 2.0
remarks, with, 2.0
with, readiness, 2.0
readiness, and, 2.0
and, in, 2.0
in, well-chosen, 2.0
well-chosen, words, 2.0
Had, he, 2.0
he, much, 2.0
much, to, 2.0
Yes, that, 2.0
that, was, 2.0
